Trial ID,Shape,Direction,Interaction Device,Start Index,Target Index,Start Size,Target Width,Target Height,Amplitude
3,rectangle,Right,Mouse,4,0,10,4,4,54
153,rectangle,Left,Mouse,0,4,10,15,10,54
106,rectangle,Up,Mouse,2,6,10,6,4,54
43,rectangle,Right,Mouse,4,0,10,4,8,54
159,rectangle,Right,Mouse,4,0,10,15,10,110
152,rectangle,Down,Mouse,6,2,10,20,8,110
105,rectangle,Left,Mouse,0,4,10,6,4,54
94,rectangle,Up,Mouse,2,6,10,10,20,110
22,rectangle,Up,Mouse,2,6,10,10,10,110
90,rectangle,Up,Mouse,2,6,10,10,20,54
170,rectangle,Up,Mouse,2,6,10,25,10,54
17,rectangle,Left,Mouse,0,4,10,10,10,54
52,rectangle,Down,Mouse,6,2,10,4,10,54
116,rectangle,Down,Mouse,6,2,10,8,4,54
151,rectangle,Right,Mouse,4,0,10,20,8,110
168,rectangle,Down,Mouse,6,2,10,20,10,110
132,rectangle,Down,Mouse,6,2,10,12,8,54
135,rectangle,Right,Mouse,4,0,10,12,8,110
67,rectangle,Right,Mouse,4,0,10,8,16,54
12,rectangle,Down,Mouse,6,2,10,8,8,54
157,rectangle,Left,Mouse,0,4,10,15,10,110
83,rectangle,Right,Mouse,4,0,10,10,15,54
36,rectangle,Down,Mouse,6,2,10,4,6,54
65,rectangle,Left,Mouse,0,4,10,8,16,54
72,rectangle,Down,Mouse,6,2,10,8,16,110
162,rectangle,Up,Mouse,2,6,10,20,10,54
54,rectangle,Up,Mouse,2,6,10,4,10,110
143,rectangle,Right,Mouse,4,0,10,16,8,110
15,rectangle,Right,Mouse,4,0,10,8,8,110
140,rectangle,Down,Mouse,6,2,10,16,8,54
146,rectangle,Up,Mouse,2,6,10,20,8,54
27,rectangle,Right,Mouse,4,0,10,15,15,54
18,rectangle,Up,Mouse,2,6,10,10,10,54
35,rectangle,Right,Mouse,4,0,10,4,6,54
77,rectangle,Left,Mouse,0,4,10,8,20,110
37,rectangle,Left,Mouse,0,4,10,4,6,110
46,rectangle,Up,Mouse,2,6,10,4,8,110
70,rectangle,Up,Mouse,2,6,10,8,16,110
113,rectangle,Left,Mouse,0,4,10,8,4,54
145,rectangle,Left,Mouse,0,4,10,20,8,54
53,rectangle,Left,Mouse,0,4,10,4,10,110
4,rectangle,Down,Mouse,6,2,10,4,4,54
51,rectangle,Right,Mouse,4,0,10,4,10,54
26,rectangle,Up,Mouse,2,6,10,15,15,54
121,rectangle,Left,Mouse,0,4,10,10,4,54
133,rectangle,Left,Mouse,0,4,10,12,8,110
96,rectangle,Down,Mouse,6,2,10,10,20,110
39,rectangle,Right,Mouse,4,0,10,4,6,110
97,rectangle,Left,Mouse,0,4,10,10,25,54
20,rectangle,Down,Mouse,6,2,10,10,10,54
49,rectangle,Left,Mouse,0,4,10,4,10,54
10,rectangle,Up,Mouse,2,6,10,8,8,54
120,rectangle,Down,Mouse,6,2,10,8,4,110
169,rectangle,Left,Mouse,0,4,10,25,10,54
24,rectangle,Down,Mouse,6,2,10,10,10,110
101,rectangle,Left,Mouse,0,4,10,10,25,110
