no,experimentType,userNumber,blockNumber,trialId,constNr,constStr,copyOfTrial,trialRep,currTravel,travelsNumber,amplitudeMM,amplitudePx,directionDegree,rect1_PressIn,rect1_ReleaseIn,rect2_PressIn,rect2_ReleaseIn,HIT,isRepetitionOfMistake,toBeRepeatedTrial,rect1_X,rect1_Y,rect1_WidthMM,rect1_HeightMM,rect1_WidthPx,rect1_HeightPx,rect2_X,rect2_Y,rect2_WidthMM,rect2_HeightMM,rect2_WidthPx,rect2_HeightPx,rect1_Press_coord_X,rect1_Press_coord_Y,rect1_Release_coord_X,rect1_Release_coord_Y,rect2_Press_coord_X,rect2_Press_coord_Y,rect2_Release_coord_X,rect2_Release_coord_Y,rect1_Press_timeT1,rect1_Release_timeT2,rect2_Press_timeT3,rect2_Release_timeT4,T2_T1_rect1_Release_rect1_Press_ms,T3_T1_rect2_Press_rect1_Press_ms,T4_T1_rect2_Release_rect1_Press_ms,T3_T2_rect2_Press_rect1_Release_ms,T4_T2_rect2_Release_rect1_Release_ms,T4_T3_rect2_Release_rect2_Press_ms,D2_D1_rect1_Release_rect1_Press_px,D3_D1_rect2_Press_rect1_Press_px,D4_D1_rect2_Release_rect1_Press_px,D3_D2_rect2_Press_rect1_Release_px,D4_D2_rect2_Release_rect1_Release_px,D4_D3_rect2_Release_rect2_Press_px,device
1,discrete,6,1,92,16,W_12_H_6_D_225_Amp_365,91,1,,,365,1155.1984792651485,225,true,true,true,true,true,false,false,535.7510241453507,115.7510241453508,10,10,31.64927340452462,31.64927340452462,1349.434775109672,938.9295571310295,12,6,37.979128085429544,18.989564042714772,560,135,560,135,1381,954,1381,954,20.04 T 23:03:37.961,20.04 T 23:03:38.042,20.04 T 23:03:39.026,20.04 T 23:03:39.058,0000081,0001065,0001097,0000984,0001016,0000032,0,1159.6559834709603,1159.6559834709603,1159.6559834709603,1159.6559834709603,0,mouse
2,discrete,6,1,35,6,W_22_H_5_D_75_Amp_87,31,4,,,87,275.3486786193642,75,true,true,true,true,true,false,false,830.6829982753029,614.4747168784706,10,10,31.64927340452462,31.64927340452462,882.9589163030929,888.3534351426143,22,5,69.62840148995416,15.82463670226231,842,631,841,631,895,894,895,893,20.04 T 23:03:40.043,20.04 T 23:03:40.108,20.04 T 23:03:41.062,20.04 T 23:03:41.107,0000065,0001019,0001064,0000954,0000999,0000045,1,268.28715958837836,267.30693967796645,268.48649872945197,267.5070092539633,1,mouse
3,discrete,6,1,24,4,W_12_H_6_D_45_Amp_365,19,5,,,365,1155.1984792651485,45,true,true,true,true,true,false,false,711.7809150836529,55.361622099238375,10,10,31.64927340452462,31.64927340452462,1525.4646660479743,878.540155084917,12,6,37.979128085429544,18.989564042714772,722,77,721,77,1531,887,1531,887,20.04 T 23:03:42.460,20.04 T 23:03:42.541,20.04 T 23:03:43.577,20.04 T 23:03:43.608,0000081,0001117,0001148,0001036,0001067,0000031,1,1144.8060971186344,1144.8060971186344,1145.512985522207,1145.512985522207,0,mouse
4,discrete,6,1,44,8,W_4_H_8_D_105_Amp_160,43,1,,,160,506.38837447239393,105,true,true,true,true,true,false,false,1128.1871702101857,440.5608997888142,10,10,31.64927340452462,31.64927340452462,1006.6189966995804,932.8594361646918,4,8,12.659709361809847,25.319418723619695,1155,463,1155,463,1013,945,1013,945,20.04 T 23:03:45.162,20.04 T 23:03:45.225,20.04 T 23:03:46.395,20.04 T 23:03:46.458,0000063,0001233,0001296,0001170,0001233,0000063,0,502.4818404678919,502.4818404678919,502.4818404678919,502.4818404678919,0,mouse
5,discrete,6,1,122,21,W_14_H_10_D_300_Amp_72,121,1,,,72,227.87476851257728,300,true,true,true,true,true,false,false,409.61578245011333,891.2436841719392,10,10,31.64927340452462,31.64927340452462,517.223312025497,693.898345758549,14,10,44.308982766334466,31.64927340452462,414,899,414,899,544,724,544,724,20.04 T 23:03:47.660,20.04 T 23:03:47.728,20.04 T 23:03:48.311,20.04 T 23:03:48.342,0000068,0000651,0000682,0000583,0000614,0000031,0,218.0022935659164,218.0022935659164,218.0022935659164,218.0022935659164,0,mouse
6,discrete,6,1,112,19,W_15_H_20_D_270_Amp_231,109,3,,,231,731.0982156445186,270,true,true,true,true,true,false,false,621.4945692493,928.8597866657733,10,10,31.64927340452462,31.64927340452462,613.5822508981687,181.93693431899234,15,20,47.47391010678693,63.29854680904924,629,939,629,939,636,207,636,207,20.04 T 23:03:49.427,20.04 T 23:03:49.493,20.04 T 23:03:50.093,20.04 T 23:03:50.158,0000066,0000666,0000731,0000600,0000665,0000065,0,732.0334691802008,732.0334691802008,732.0334691802008,732.0334691802008,0,mouse
7,discrete,6,1,49,9,W_14_H_10_D_120_Amp_72,49,0,,,72,227.87476851257728,120,true,true,true,true,true,false,false,259.0333387449537,378.78580766938416,10,10,31.64927340452462,31.64927340452462,138.7660998077602,576.1311460827744,14,10,44.308982766334466,31.64927340452462,282,401,280,402,149,592,149,592,20.04 T 23:03:51.544,20.04 T 23:03:51.591,20.04 T 23:03:52.243,20.04 T 23:03:52.292,0000047,0000699,0000748,0000652,0000701,0000049,2.23606797749979,232.74449510138794,232.74449510138794,230.7834482799839,230.7834482799839,0,mouse
8,discrete,6,1,88,15,W_15_H_24_D_210_Amp_92,85,3,,,92,291.1733153216265,210,true,true,true,true,true,false,false,1036.6681417193004,865.2451940613278,10,10,31.64927340452462,31.64927340452462,776.5923353955039,697.5040450173473,15,24,47.47391010678693,75.95825617085909,1047,879,1046,879,801,751,801,751,20.04 T 23:03:53.392,20.04 T 23:03:53.442,20.04 T 23:03:54.278,20.04 T 23:03:54.328,0000050,0000886,0000936,0000836,0000886,0000050,1,277.308492477241,277.308492477241,276.4217791708895,276.4217791708895,0,mouse
9,discrete,6,1,50,9,W_14_H_10_D_120_Amp_72,49,1,,,72,227.87476851257728,120,true,true,true,true,true,false,false,487.402600531637,749.8952843661598,10,10,31.64927340452462,31.64927340452462,367.1353615944435,947.24062277955,14,10,44.308982766334466,31.64927340452462,504,768,504,768,391,962,391,962,20.04 T 23:03:55.977,20.04 T 23:03:56.041,20.04 T 23:03:56.862,20.04 T 23:03:56.925,0000064,0000885,0000948,0000821,0000884,0000063,0,224.51057881534223,224.51057881534223,224.51057881534223,224.51057881534223,0,mouse
10,discrete,6,1,3,1,W_6_H_4_D_0_Amp_409,1,2,,,409,1294.455282245057,0,true,true,true,true,true,false,false,324.8941449787701,841.9849401839346,10,10,31.64927340452462,31.64927340452462,1625.679281904732,851.479722205292,6,4,18.989564042714772,12.659709361809847,342,863,342,862,1630,857,1630,857,20.04 T 23:03:58.578,20.04 T 23:03:58.625,20.04 T 23:03:59.827,20.04 T 23:03:59.876,0000047,0001249,0001298,0001202,0001251,0000049,1,1288.013975079463,1288.013975079463,1288.0097049323813,1288.0097049323813,0,mouse
